project,article,granularity,timestamp,access,agent,views
en.wikipedia,Manuel_Olivencia,daily,2018040100,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018040200,all-access,user,14
en.wikipedia,Manuel_Olivencia,daily,2018040300,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018040400,all-access,user,18
en.wikipedia,Manuel_Olivencia,daily,2018040500,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018040600,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018040700,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018040800,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018040900,all-access,user,1
en.wikipedia,Manuel_Olivencia,daily,2018041000,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018041100,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018041200,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018041300,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018041400,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018041500,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018041600,all-access,user,14
en.wikipedia,Manuel_Olivencia,daily,2018041700,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018041800,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018041900,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018042000,all-access,user,14
en.wikipedia,Manuel_Olivencia,daily,2018042100,all-access,user,18
en.wikipedia,Manuel_Olivencia,daily,2018042200,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018042300,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018042400,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018042500,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018042600,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018042700,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018042800,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018042900,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018043000,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018050100,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018050200,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018050300,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018050400,all-access,user,3
en.wikipedia,Manuel_Olivencia,daily,2018050500,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018050600,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018050700,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018050800,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018050900,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018051000,all-access,user,3
en.wikipedia,Manuel_Olivencia,daily,2018051100,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018051200,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018051300,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018051400,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018051500,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018051600,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018051700,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018051800,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018051900,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018052000,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018052100,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018052200,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018052300,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018052400,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018052500,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018052600,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018052700,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018052800,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018052900,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018053000,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018053100,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018060100,all-access,user,11
en.wikipedia,Manuel_Olivencia,daily,2018060200,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018060300,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018060400,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018060500,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018060600,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018060700,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018060800,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018060900,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018061000,all-access,user,13
en.wikipedia,Manuel_Olivencia,daily,2018061100,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018061200,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018061300,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018061400,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018061500,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018061600,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018061700,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018061800,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018061900,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018062000,all-access,user,6
en.wikipedia,Manuel_Olivencia,daily,2018062100,all-access,user,5
en.wikipedia,Manuel_Olivencia,daily,2018062200,all-access,user,11
en.wikipedia,Manuel_Olivencia,daily,2018062300,all-access,user,4
en.wikipedia,Manuel_Olivencia,daily,2018062400,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018062500,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018062600,all-access,user,7
